Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,SummaryQuote
NP,"Neenah, Inc.",58.23,$982.14M,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/np
NNI,"Nelnet, Inc.",48.21,$1.96B,2003,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nni
NPTN,NeoPhotonics Corporation,5.98,$275.37M,2011,Technology,Semiconductors,https://www.nasdaq.com/symbol/nptn
NETS,Netshoes (Cayman) Limited,1.3,$40.37M,2017,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/nets
NVRO,Nevro Corp.,36.43,$1.1B,2014,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nvro
HYB,"New America High Income Fund, Inc. (The)",7.24,$169.19M,1988,n/a,n/a,https://www.nasdaq.com/symbol/hyb
NFC,New Frontier Corporation,9.8,$396.53M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/nfc
NFC.U,New Frontier Corporation,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/nfc.u
NFC.WS,New Frontier Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nfc.ws
GF,"New Germany Fund, Inc. (The)",14.19,$226.34M,1990,n/a,n/a,https://www.nasdaq.com/symbol/gf
NWHM,New Home Company Inc. (The),5.29,$108.12M,2014,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/nwhm
IRL,"New Ireland Fund, Inc. (The)",7.77,$38.71M,1990,n/a,n/a,https://www.nasdaq.com/symbol/irl
NEWM,New Media Investment Group Inc.,11.29,$680.75M,2014,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/newm
NMFC,New Mountain Finance Corporation,12.25,$932.3M,2011,n/a,n/a,https://www.nasdaq.com/symbol/nmfc
NMFX,New Mountain Finance Corporation,23.6,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/nmfx
EDU,"New Oriental Education & Technology Group, Inc.",51.45,$8.15B,2006,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/edu
NEWR,"New Relic, Inc.",74.03,$4.22B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/newr
NRZ,New Residential Investment Corp.,14.41,$4.9B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nrz
SNR,New Senior Investment Group Inc.,4.35,$357.35M,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/snr
NYCB,"New York Community Bancorp, Inc.",8.78,$4.31B,n/a,Finance,Banks,https://www.nasdaq.com/symbol/nycb
NYCB^A,"New York Community Bancorp, Inc.",22.5943,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nycb^a
NYCB^U,"New York Community Bancorp, Inc.",43,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nycb^u
NYT,New York Times Company (The),22.13,$3.65B,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/nyt
NFX,Newfield Exploration Company,13.56,$2.72B,1993,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nfx
NJR,NewJersey Resources Corporation,47.68,$4.22B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/njr
NEU,NewMarket Corporation,383.69,$4.38B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/neu
NEM,Newmont Mining Corporation,33.53,$17.86B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nem
NR,"Newpark Resources, Inc.",6.66,$604.78M,n/a,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/nr
NEXA,Nexa Resources S.A.,11.76,$1.57B,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nexa
NXRT,"NexPoint Residential Trust, Inc.",34.17,$802.98M,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nxrt
NHF,NexPoint Strategic Opportunities Fund,18.72,$425.66M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nhf
NEP,"NextEra Energy Partners, LP",42.71,$2.39B,2014,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nep
NEE,"NextEra Energy, Inc.",174.11,$83.22B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/nee
NEE^I,"NextEra Energy, Inc.",21.7065,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^i
NEE^J,"NextEra Energy, Inc.",21.2512,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^j
NEE^K,"NextEra Energy, Inc.",22.64,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^k
NEE^R,"NextEra Energy, Inc.",58.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nee^r
NGL,NGL ENERGY PARTNERS LP,9.4,$1.16B,2011,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ngl
NGL^B,NGL ENERGY PARTNERS LP,20.13,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ngl^b
NMK^B,"Niagara Mohawk Holdings, Inc.",96.25,n/a,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/nmk^b
NMK^C,"Niagara Mohawk Holdings, Inc.",93,n/a,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/nmk^c
NLSN,Nielsen N.V.,22.99,$8.16B,2011,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/nlsn
NKE,"Nike, Inc.",72.37,$114.93B,n/a,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/nke
NINE,"Nine Energy Service, Inc.",21.45,$647.13M,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nine
NIO,NIO Inc.,6.07,$6.23B,2018,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/nio
NI,"NiSource, Inc",26.05,$9.69B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ni
NL,"NL Industries, Inc.",3.13,$152.52M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/nl
NOAH,Noah Holdings Ltd.,41.17,$2.36B,2010,Finance,Investment Managers,https://www.nasdaq.com/symbol/noah
NE,Noble Corporation,2.55,$629.33M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ne
NBL,Noble Energy Inc.,18.17,$8.72B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nbl
NBLX,Noble Midstream Partners LP,27.82,$1.1B,2016,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/nblx
NOK,Nokia Corporation,5.49,$30.7B,1994,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/nok
NOMD,Nomad Foods Limited,16.17,$2.81B,2016,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/nomd
NMR,Nomura Holdings Inc ADR,3.6,$11.99B,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/nmr
OSB,Norbord Inc.,25.06,$2.18B,n/a,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/osb
NAO,Nordic American Offshore Ltd,0.331,$20.52M,2014,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/nao
